outer_fold,inner_fold,split,patients,images,path
0,,train,186,2276,nested_cv_cropped/outer_fold_0/train
0,,test,47,655,nested_cv_cropped/outer_fold_0/test
0,0,train,149,1810,nested_cv_cropped/outer_fold_0/inner_folds/inner_fold_0/train
0,0,validation,37,466,nested_cv_cropped/outer_fold_0/inner_folds/inner_fold_0/validation
0,1,train,149,1856,nested_cv_cropped/outer_fold_0/inner_folds/inner_fold_1/train
0,1,validation,37,420,nested_cv_cropped/outer_fold_0/inner_folds/inner_fold_1/validation
0,2,train,149,1817,nested_cv_cropped/outer_fold_0/inner_folds/inner_fold_2/train
0,2,validation,37,459,nested_cv_cropped/outer_fold_0/inner_folds/inner_fold_2/validation
0,3,train,149,1859,nested_cv_cropped/outer_fold_0/inner_folds/inner_fold_3/train
0,3,validation,37,417,nested_cv_cropped/outer_fold_0/inner_folds/inner_fold_3/validation
0,4,train,148,1762,nested_cv_cropped/outer_fold_0/inner_folds/inner_fold_4/train
0,4,validation,38,514,nested_cv_cropped/outer_fold_0/inner_folds/inner_fold_4/validation
1,,train,187,2452,nested_cv_cropped/outer_fold_1/train
1,,test,46,479,nested_cv_cropped/outer_fold_1/test
1,0,train,149,1899,nested_cv_cropped/outer_fold_1/inner_folds/inner_fold_0/train
1,0,validation,38,553,nested_cv_cropped/outer_fold_1/inner_folds/inner_fold_0/validation
1,1,train,149,1938,nested_cv_cropped/outer_fold_1/inner_folds/inner_fold_1/train
1,1,validation,38,514,nested_cv_cropped/outer_fold_1/inner_folds/inner_fold_1/validation
1,2,train,150,1975,nested_cv_cropped/outer_fold_1/inner_folds/inner_fold_2/train
1,2,validation,37,477,nested_cv_cropped/outer_fold_1/inner_folds/inner_fold_2/validation
1,3,train,150,2012,nested_cv_cropped/outer_fold_1/inner_folds/inner_fold_3/train
1,3,validation,37,440,nested_cv_cropped/outer_fold_1/inner_folds/inner_fold_3/validation
1,4,train,150,1984,nested_cv_cropped/outer_fold_1/inner_folds/inner_fold_4/train
1,4,validation,37,468,nested_cv_cropped/outer_fold_1/inner_folds/inner_fold_4/validation
2,,train,186,2301,nested_cv_cropped/outer_fold_2/train
2,,test,47,630,nested_cv_cropped/outer_fold_2/test
2,0,train,149,1838,nested_cv_cropped/outer_fold_2/inner_folds/inner_fold_0/train
2,0,validation,37,463,nested_cv_cropped/outer_fold_2/inner_folds/inner_fold_0/validation
2,1,train,148,1828,nested_cv_cropped/outer_fold_2/inner_folds/inner_fold_1/train
2,1,validation,38,473,nested_cv_cropped/outer_fold_2/inner_folds/inner_fold_1/validation
2,2,train,149,1816,nested_cv_cropped/outer_fold_2/inner_folds/inner_fold_2/train
2,2,validation,37,485,nested_cv_cropped/outer_fold_2/inner_folds/inner_fold_2/validation
2,3,train,149,1850,nested_cv_cropped/outer_fold_2/inner_folds/inner_fold_3/train
2,3,validation,37,451,nested_cv_cropped/outer_fold_2/inner_folds/inner_fold_3/validation
2,4,train,149,1872,nested_cv_cropped/outer_fold_2/inner_folds/inner_fold_4/train
2,4,validation,37,429,nested_cv_cropped/outer_fold_2/inner_folds/inner_fold_4/validation
3,,train,186,2359,nested_cv_cropped/outer_fold_3/train
3,,test,47,572,nested_cv_cropped/outer_fold_3/test
3,0,train,148,1877,nested_cv_cropped/outer_fold_3/inner_folds/inner_fold_0/train
3,0,validation,38,482,nested_cv_cropped/outer_fold_3/inner_folds/inner_fold_0/validation
3,1,train,149,1847,nested_cv_cropped/outer_fold_3/inner_folds/inner_fold_1/train
3,1,validation,37,512,nested_cv_cropped/outer_fold_3/inner_folds/inner_fold_1/validation
3,2,train,149,1916,nested_cv_cropped/outer_fold_3/inner_folds/inner_fold_2/train
3,2,validation,37,443,nested_cv_cropped/outer_fold_3/inner_folds/inner_fold_2/validation
3,3,train,149,1862,nested_cv_cropped/outer_fold_3/inner_folds/inner_fold_3/train
3,3,validation,37,497,nested_cv_cropped/outer_fold_3/inner_folds/inner_fold_3/validation
3,4,train,149,1934,nested_cv_cropped/outer_fold_3/inner_folds/inner_fold_4/train
3,4,validation,37,425,nested_cv_cropped/outer_fold_3/inner_folds/inner_fold_4/validation
4,,train,187,2336,nested_cv_cropped/outer_fold_4/train
4,,test,46,595,nested_cv_cropped/outer_fold_4/test
4,0,train,149,1850,nested_cv_cropped/outer_fold_4/inner_folds/inner_fold_0/train
4,0,validation,38,486,nested_cv_cropped/outer_fold_4/inner_folds/inner_fold_0/validation
4,1,train,150,1846,nested_cv_cropped/outer_fold_4/inner_folds/inner_fold_1/train
4,1,validation,37,490,nested_cv_cropped/outer_fold_4/inner_folds/inner_fold_1/validation
4,2,train,150,1831,nested_cv_cropped/outer_fold_4/inner_folds/inner_fold_2/train
4,2,validation,37,505,nested_cv_cropped/outer_fold_4/inner_folds/inner_fold_2/validation
4,3,train,149,1938,nested_cv_cropped/outer_fold_4/inner_folds/inner_fold_3/train
4,3,validation,38,398,nested_cv_cropped/outer_fold_4/inner_folds/inner_fold_3/validation
4,4,train,150,1879,nested_cv_cropped/outer_fold_4/inner_folds/inner_fold_4/train
4,4,validation,37,457,nested_cv_cropped/outer_fold_4/inner_folds/inner_fold_4/validation
