outer_fold,inner_fold,split,patients,images,path
0,,train,186,2384,nested_cv_images/outer_fold_0/train
0,,test,47,680,nested_cv_images/outer_fold_0/test
0,0,train,149,1905,nested_cv_images/outer_fold_0/inner_folds/inner_fold_0/train
0,0,validation,37,479,nested_cv_images/outer_fold_0/inner_folds/inner_fold_0/validation
0,1,train,149,1926,nested_cv_images/outer_fold_0/inner_folds/inner_fold_1/train
0,1,validation,37,458,nested_cv_images/outer_fold_0/inner_folds/inner_fold_1/validation
0,2,train,149,1905,nested_cv_images/outer_fold_0/inner_folds/inner_fold_2/train
0,2,validation,37,479,nested_cv_images/outer_fold_0/inner_folds/inner_fold_2/validation
0,3,train,149,1949,nested_cv_images/outer_fold_0/inner_folds/inner_fold_3/train
0,3,validation,37,435,nested_cv_images/outer_fold_0/inner_folds/inner_fold_3/validation
0,4,train,148,1851,nested_cv_images/outer_fold_0/inner_folds/inner_fold_4/train
0,4,validation,38,533,nested_cv_images/outer_fold_0/inner_folds/inner_fold_4/validation
1,,train,187,2564,nested_cv_images/outer_fold_1/train
1,,test,46,500,nested_cv_images/outer_fold_1/test
1,0,train,149,1969,nested_cv_images/outer_fold_1/inner_folds/inner_fold_0/train
1,0,validation,38,595,nested_cv_images/outer_fold_1/inner_folds/inner_fold_0/validation
1,1,train,149,2035,nested_cv_images/outer_fold_1/inner_folds/inner_fold_1/train
1,1,validation,38,529,nested_cv_images/outer_fold_1/inner_folds/inner_fold_1/validation
1,2,train,150,2061,nested_cv_images/outer_fold_1/inner_folds/inner_fold_2/train
1,2,validation,37,503,nested_cv_images/outer_fold_1/inner_folds/inner_fold_2/validation
1,3,train,150,2109,nested_cv_images/outer_fold_1/inner_folds/inner_fold_3/train
1,3,validation,37,455,nested_cv_images/outer_fold_1/inner_folds/inner_fold_3/validation
1,4,train,150,2082,nested_cv_images/outer_fold_1/inner_folds/inner_fold_4/train
1,4,validation,37,482,nested_cv_images/outer_fold_1/inner_folds/inner_fold_4/validation
2,,train,186,2407,nested_cv_images/outer_fold_2/train
2,,test,47,657,nested_cv_images/outer_fold_2/test
2,0,train,149,1918,nested_cv_images/outer_fold_2/inner_folds/inner_fold_0/train
2,0,validation,37,489,nested_cv_images/outer_fold_2/inner_folds/inner_fold_0/validation
2,1,train,148,1900,nested_cv_images/outer_fold_2/inner_folds/inner_fold_1/train
2,1,validation,38,507,nested_cv_images/outer_fold_2/inner_folds/inner_fold_1/validation
2,2,train,149,1908,nested_cv_images/outer_fold_2/inner_folds/inner_fold_2/train
2,2,validation,37,499,nested_cv_images/outer_fold_2/inner_folds/inner_fold_2/validation
2,3,train,149,1942,nested_cv_images/outer_fold_2/inner_folds/inner_fold_3/train
2,3,validation,37,465,nested_cv_images/outer_fold_2/inner_folds/inner_fold_3/validation
2,4,train,149,1960,nested_cv_images/outer_fold_2/inner_folds/inner_fold_4/train
2,4,validation,37,447,nested_cv_images/outer_fold_2/inner_folds/inner_fold_4/validation
3,,train,186,2461,nested_cv_images/outer_fold_3/train
3,,test,47,603,nested_cv_images/outer_fold_3/test
3,0,train,148,1949,nested_cv_images/outer_fold_3/inner_folds/inner_fold_0/train
3,0,validation,38,512,nested_cv_images/outer_fold_3/inner_folds/inner_fold_0/validation
3,1,train,149,1932,nested_cv_images/outer_fold_3/inner_folds/inner_fold_1/train
3,1,validation,37,529,nested_cv_images/outer_fold_3/inner_folds/inner_fold_1/validation
3,2,train,149,1992,nested_cv_images/outer_fold_3/inner_folds/inner_fold_2/train
3,2,validation,37,469,nested_cv_images/outer_fold_3/inner_folds/inner_fold_2/validation
3,3,train,149,1944,nested_cv_images/outer_fold_3/inner_folds/inner_fold_3/train
3,3,validation,37,517,nested_cv_images/outer_fold_3/inner_folds/inner_fold_3/validation
3,4,train,149,2027,nested_cv_images/outer_fold_3/inner_folds/inner_fold_4/train
3,4,validation,37,434,nested_cv_images/outer_fold_3/inner_folds/inner_fold_4/validation
4,,train,187,2440,nested_cv_images/outer_fold_4/train
4,,test,46,624,nested_cv_images/outer_fold_4/test
4,0,train,149,1920,nested_cv_images/outer_fold_4/inner_folds/inner_fold_0/train
4,0,validation,38,520,nested_cv_images/outer_fold_4/inner_folds/inner_fold_0/validation
4,1,train,150,1925,nested_cv_images/outer_fold_4/inner_folds/inner_fold_1/train
4,1,validation,37,515,nested_cv_images/outer_fold_4/inner_folds/inner_fold_1/validation
4,2,train,150,1919,nested_cv_images/outer_fold_4/inner_folds/inner_fold_2/train
4,2,validation,37,521,nested_cv_images/outer_fold_4/inner_folds/inner_fold_2/validation
4,3,train,149,2031,nested_cv_images/outer_fold_4/inner_folds/inner_fold_3/train
4,3,validation,38,409,nested_cv_images/outer_fold_4/inner_folds/inner_fold_3/validation
4,4,train,150,1965,nested_cv_images/outer_fold_4/inner_folds/inner_fold_4/train
4,4,validation,37,475,nested_cv_images/outer_fold_4/inner_folds/inner_fold_4/validation
