outer_fold,inner_fold,role,class_name,patients,slices
0,0,inner_train,glioma,57,842
0,0,inner_train,meningioma,54,420
0,0,inner_train,pituitary,38,548
0,0,inner_tune,glioma,15,193
0,0,inner_tune,meningioma,10,70
0,0,inner_tune,pituitary,12,203
0,1,inner_train,glioma,60,849
0,1,inner_train,meningioma,46,367
0,1,inner_train,pituitary,43,640
0,1,inner_tune,glioma,12,186
0,1,inner_tune,meningioma,18,123
0,1,inner_tune,pituitary,7,111
0,2,inner_train,glioma,58,834
0,2,inner_train,meningioma,53,391
0,2,inner_train,pituitary,38,592
0,2,inner_tune,glioma,14,201
0,2,inner_tune,meningioma,11,99
0,2,inner_tune,pituitary,12,159
0,3,inner_train,glioma,56,839
0,3,inner_train,meningioma,53,412
0,3,inner_train,pituitary,40,608
0,3,inner_tune,glioma,16,196
0,3,inner_tune,meningioma,11,78
0,3,inner_tune,pituitary,10,143
0,4,inner_train,glioma,57,776
0,4,inner_train,meningioma,50,370
0,4,inner_train,pituitary,41,616
0,4,inner_tune,glioma,15,259
0,4,inner_tune,meningioma,14,120
0,4,inner_tune,pituitary,9,135
1,0,inner_train,glioma,59,860
1,0,inner_train,meningioma,43,356
1,0,inner_train,pituitary,47,683
1,0,inner_tune,glioma,13,239
1,0,inner_tune,meningioma,20,236
1,0,inner_tune,pituitary,5,78
1,1,inner_train,glioma,56,829
1,1,inner_train,meningioma,52,513
1,1,inner_train,pituitary,41,596
1,1,inner_tune,glioma,16,270
1,1,inner_tune,meningioma,11,79
1,1,inner_tune,pituitary,11,165
1,2,inner_train,glioma,57,890
1,2,inner_train,meningioma,49,439
1,2,inner_train,pituitary,44,646
1,2,inner_tune,glioma,15,209
1,2,inner_tune,meningioma,14,153
1,2,inner_tune,pituitary,8,115
1,3,inner_train,glioma,58,925
1,3,inner_train,meningioma,54,541
1,3,inner_train,pituitary,38,546
1,3,inner_tune,glioma,14,174
1,3,inner_tune,meningioma,9,51
1,3,inner_tune,pituitary,14,215
1,4,inner_train,glioma,58,892
1,4,inner_train,meningioma,54,519
1,4,inner_train,pituitary,38,573
1,4,inner_tune,glioma,14,207
1,4,inner_tune,meningioma,9,73
1,4,inner_tune,pituitary,14,188
2,0,inner_train,glioma,55,781
2,0,inner_train,meningioma,56,486
2,0,inner_train,pituitary,38,571
2,0,inner_tune,glioma,16,235
2,0,inner_tune,meningioma,12,107
2,0,inner_tune,pituitary,9,121
2,1,inner_train,glioma,57,810
2,1,inner_train,meningioma,53,461
2,1,inner_train,pituitary,38,557
2,1,inner_tune,glioma,14,206
2,1,inner_tune,meningioma,15,132
2,1,inner_tune,pituitary,9,135
2,2,inner_train,glioma,58,811
2,2,inner_train,meningioma,55,471
2,2,inner_train,pituitary,36,534
2,2,inner_tune,glioma,13,205
2,2,inner_tune,meningioma,13,122
2,2,inner_tune,pituitary,11,158
2,3,inner_train,glioma,58,818
2,3,inner_train,meningioma,53,473
2,3,inner_train,pituitary,38,559
2,3,inner_tune,glioma,13,198
2,3,inner_tune,meningioma,15,120
2,3,inner_tune,pituitary,9,133
2,4,inner_train,glioma,56,844
2,4,inner_train,meningioma,55,481
2,4,inner_train,pituitary,38,547
2,4,inner_tune,glioma,15,172
2,4,inner_tune,meningioma,13,112
2,4,inner_tune,pituitary,9,145
3,0,inner_train,glioma,56,859
3,0,inner_train,meningioma,52,413
3,0,inner_train,pituitary,40,605
3,0,inner_tune,glioma,15,199
3,0,inner_tune,meningioma,16,176
3,0,inner_tune,pituitary,7,107
3,1,inner_train,glioma,58,856
3,1,inner_train,meningioma,55,479
3,1,inner_train,pituitary,36,512
3,1,inner_tune,glioma,13,202
3,1,inner_tune,meningioma,13,110
3,1,inner_tune,pituitary,11,200
3,2,inner_train,glioma,56,863
3,2,inner_train,meningioma,58,505
3,2,inner_train,pituitary,35,548
3,2,inner_tune,glioma,15,195
3,2,inner_tune,meningioma,10,84
3,2,inner_tune,pituitary,12,164
3,3,inner_train,glioma,58,841
3,3,inner_train,meningioma,54,447
3,3,inner_train,pituitary,37,574
3,3,inner_tune,glioma,13,217
3,3,inner_tune,meningioma,14,142
3,3,inner_tune,pituitary,10,138
3,4,inner_train,glioma,56,813
3,4,inner_train,meningioma,53,512
3,4,inner_train,pituitary,40,609
3,4,inner_tune,glioma,15,245
3,4,inner_tune,meningioma,15,77
3,4,inner_tune,pituitary,7,103
4,0,inner_train,glioma,55,845
4,0,inner_train,meningioma,51,396
4,0,inner_train,pituitary,43,609
4,0,inner_tune,glioma,15,187
4,0,inner_tune,meningioma,14,144
4,0,inner_tune,pituitary,9,155
4,1,inner_train,glioma,57,796
4,1,inner_train,meningioma,50,430
4,1,inner_train,pituitary,43,620
4,1,inner_tune,glioma,13,236
4,1,inner_tune,meningioma,15,110
4,1,inner_tune,pituitary,9,144
4,2,inner_train,glioma,56,798
4,2,inner_train,meningioma,52,416
4,2,inner_train,pituitary,42,617
4,2,inner_tune,glioma,14,234
4,2,inner_tune,meningioma,13,124
4,2,inner_tune,pituitary,10,147
4,3,inner_train,glioma,56,887
4,3,inner_train,meningioma,52,434
4,3,inner_train,pituitary,41,617
4,3,inner_tune,glioma,14,145
4,3,inner_tune,meningioma,13,106
4,3,inner_tune,pituitary,11,147
4,4,inner_train,glioma,56,802
4,4,inner_train,meningioma,55,484
4,4,inner_train,pituitary,39,593
4,4,inner_tune,glioma,14,230
4,4,inner_tune,meningioma,10,56
4,4,inner_tune,pituitary,13,171
