outer_fold,role,class_name,patients,slices
0,development,glioma,72,1035
0,development,meningioma,64,490
0,development,pituitary,50,751
0,outer_test,glioma,17,275
0,outer_test,meningioma,18,211
0,outer_test,pituitary,12,169
1,development,glioma,72,1099
1,development,meningioma,63,592
1,development,pituitary,52,761
1,outer_test,glioma,17,211
1,outer_test,meningioma,19,109
1,outer_test,pituitary,10,159
2,development,glioma,71,1016
2,development,meningioma,68,593
2,development,pituitary,47,692
2,outer_test,glioma,18,294
2,outer_test,meningioma,14,108
2,outer_test,pituitary,15,228
3,development,glioma,71,1058
3,development,meningioma,68,589
3,development,pituitary,47,712
3,outer_test,glioma,18,252
3,outer_test,meningioma,14,112
3,outer_test,pituitary,15,208
4,development,glioma,70,1032
4,development,meningioma,65,540
4,development,pituitary,52,764
4,outer_test,glioma,19,278
4,outer_test,meningioma,17,161
4,outer_test,pituitary,10,156
