outer_fold,evaluation_level,samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,macro_roc_auc_ovr,weighted_roc_auc_ovr,matthews_correlation_coefficient,cohen_kappa,negative_log_likelihood,multiclass_brier_score,expected_calibration_error_10_bins
0,slice_level,655,0.9206106870229007,0.920792761740629,0.921520371889527,0.920792761740629,0.9132946655513594,0.9339760409295569,0.9206106870229007,0.920429143698905,0.9882877749151225,0.989097222752863,0.8851864638584652,0.8792455505920727,0.31079906051394374,0.12377090077543551,0.03511413498466372
0,patient_level,47,0.9361702127659575,0.9444444444444445,0.9338624338624338,0.9444444444444445,0.9345321345321346,0.9434312732185073,0.9361702127659575,0.9352094713796842,0.9907498631636562,0.9899800859448695,0.9081009678810192,0.9037542662116042,0.303343261124677,0.12072382439902724,0.08720386673904575
1,slice_level,479,0.9311064718162839,0.925405835255074,0.9173694415691355,0.925405835255074,0.9208301896595472,0.9338102171551381,0.9311064718162839,0.9320151954854958,0.9895677717232937,0.9911025026717117,0.8940216131317649,0.8936071399725386,0.1892307898605248,0.09875728184292787,0.024546560912612567
1,patient_level,46,0.9565217391304348,0.9491228070175438,0.9491228070175438,0.9491228070175438,0.9491228070175438,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9984243014944769,0.9985909822866345,0.9326500732064422,0.9326500732064421,0.13446714228333514,0.06466558928766776,0.10629949773660004
2,slice_level,630,0.9380952380952381,0.9085743459177044,0.9434836778379826,0.9085743459177044,0.922722407382043,0.9392357348317613,0.9380952380952381,0.9367957132783867,0.990150982263139,0.9919820151140458,0.9004586032892906,0.8992570360165322,0.2007438000398621,0.0971339488258603,0.02979042849694108
2,patient_level,47,0.8723404255319149,0.8677248677248678,0.8970588235294118,0.8677248677248678,0.8682539682539683,0.8976846057571964,0.8723404255319149,0.87193515704154,0.9926151913220879,0.9923339224971653,0.8190967204117982,0.8072453861927547,0.2761995534567371,0.17592614942303672,0.10719923423744857
3,slice_level,572,0.9615384615384616,0.9584605209605209,0.9500607471904425,0.9584605209605209,0.9539374158000982,0.9626197096076615,0.9615384615384616,0.9618653557536604,0.997333912313532,0.9977511958150546,0.9398689844917119,0.9396959880388737,0.10008164386387844,0.056976114060247725,0.01387882127562572
3,patient_level,47,0.9574468085106383,0.9576719576719577,0.9553571428571429,0.9576719576719577,0.9559139784946237,0.9587765957446809,0.9574468085106383,0.9574860280419648,0.9978354978354979,0.9980657640232108,0.9365629452337392,0.9359236537150648,0.1277806365481902,0.06087590634390059,0.07346276379271659
4,slice_level,595,0.8369747899159664,0.8461585246852685,0.8359469540086281,0.8461585246852685,0.8278905812255489,0.8668431577060757,0.8369747899159664,0.8396587708706966,0.9803930529146999,0.9816153269555195,0.7647472675174738,0.7520790735236,0.4791466183065382,0.24606016190411778,0.09086343080164228
4,patient_level,46,0.8260869565217391,0.8513931888544892,0.8389355742296919,0.8513931888544892,0.8206011197788555,0.884088417975886,0.8260869565217391,0.8354386479541169,0.9952670723461798,0.994752623688156,0.7612625223743343,0.741391426563598,0.3257889517829246,0.20202217655982846,0.06559412239798122
